"DATA No","DATE","TIME","³µËÙ","A1","A2","A3","A4","A1-----A4ID1"
308,2017/11/30,09:44:05,1.882759E+01,1495,2788,1292,38,2788
309,2017/11/30,09:44:05,1.882759E+01,1418,2800,1267,33,2800
310,2017/11/30,09:44:05,1.882759E+01,1342,2809,1231,26,2809
311,2017/11/30,09:44:05,1.882759E+01,1265,2807,1194,20,2807
312,2017/11/30,09:44:05,1.882759E+01,1186,2795,1152,12,2795
313,2017/11/30,09:44:05,1.882759E+01,1104,2776,1121,5,2776
314,2017/11/30,09:44:05,1.882759E+01,995,2747,1088,2,2747
315,2017/11/30,09:44:05,1.882759E+01,897,2723,1048,0,2723
316,2017/11/30,09:44:05,1.882759E+01,796,2694,1013,0,2694
317,2017/11/30,09:44:05,1.882759E+01,691,2658,980,1,2658
318,2017/11/30,09:44:05,1.882759E+01,589,2623,933,1,2623
319,2017/11/30,09:44:05,1.882759E+01,484,2594,886,3,2594
320,2017/11/30,09:44:05,1.882759E+01,347,2572,840,2,2572
321,2017/11/30,09:44:05,1.882759E+01,228,2559,794,1,2559
322,2017/11/30,09:44:05,1.882759E+01,107,2555,749,1,2555
323,2017/11/30,09:44:05,1.882759E+01,33,2556,692,1,2556
324,2017/11/30,09:44:05,1.882759E+01,9,2551,637,2,2551
325,2017/11/30,09:44:05,1.882759E+01,-3,2543,596,3,2543
326,2017/11/30,09:44:05,1.882759E+01,11,2533,568,4,2533
327,2017/11/30,09:44:05,1.882759E+01,-4,2517,535,4,2517
328,2017/11/30,09:44:05,1.882759E+01,2,2509,504,3,2509
329,2017/11/30,09:44:05,1.882759E+01,6,2506,476,1,2506
330,2017/11/30,09:44:05,1.882759E+01,-3,2503,452,0,2503
331,2017/11/30,09:44:05,1.882759E+01,1,2492,429,1,2492
332,2017/11/30,09:44:05,1.882759E+01,3,2476,409,0,2476
333,2017/11/30,09:44:05,1.882759E+01,6,2471,393,1,2471
334,2017/11/30,09:44:05,1.882759E+01,9,2472,383,0,2472
335,2017/11/30,09:44:05,1.882759E+01,13,2475,371,0,2475
336,2017/11/30,09:44:05,1.882759E+01,18,2475,362,1,2475
337,2017/11/30,09:44:05,1.882759E+01,27,2476,363,1,2476
338,2017/11/30,09:44:05,1.882759E+01,32,2484,376,0,2484
339,2017/11/30,09:44:05,1.882759E+01,52,2496,394,1,2496
340,2017/11/30,09:44:05,1.882759E+01,87,2507,406,0,2507
341,2017/11/30,09:44:05,1.882759E+01,134,2512,411,0,2512
342,2017/11/30,09:44:05,1.882759E+01,172,2514,423,1,2514
343,2017/11/30,09:44:05,1.882759E+01,191,2515,439,1,2515
344,2017/11/30,09:44:05,1.882759E+01,176,2528,461,0,2528
345,2017/11/30,09:44:05,1.882759E+01,137,2550,492,0,2550
346,2017/11/30,09:44:05,1.882759E+01,94,2576,520,0,2576
347,2017/11/30,09:44:05,1.882759E+01,57,2601,550,0,2601
348,2017/11/30,09:44:05,1.882759E+01,27,2626,581,0,2626
349,2017/11/30,09:44:05,1.882759E+01,10,2648,615,0,2648
350,2017/11/30,09:44:05,1.882759E+01,8,2676,652,1,2676
351,2017/11/30,09:44:05,1.882759E+01,20,2694,702,0,2694
352,2017/11/30,09:44:05,1.882759E+01,27,2708,739,1,2708
353,2017/11/30,09:44:05,1.882759E+01,19,2716,768,1,2716
354,2017/11/30,09:44:05,1.882759E+01,5,2714,794,1,2714
355,2017/11/30,09:44:05,1.882759E+01,-2,2707,819,2,2707
356,2017/11/30,09:44:05,1.882759E+01,1,2698,844,2,2698
357,2017/11/30,09:44:05,1.882759E+01,5,2695,870,1,2695
358,2017/11/30,09:44:05,1.882759E+01,6,2698,889,2,2698
359,2017/11/30,09:44:05,1.882759E+01,4,2702,911,1,2702
360,2017/11/30,09:44:05,1.882759E+01,5,2706,935,0,2706
361,2017/11/30,09:44:05,1.882759E+01,3,2709,959,-1,2709
362,2017/11/30,09:44:05,1.882759E+01,2,2714,980,0,2714
363,2017/11/30,09:44:05,1.882759E+01,2,2719,1001,0,2719
364,2017/11/30,09:44:05,1.882759E+01,2,2723,1014,0,2723
365,2017/11/30,09:44:05,1.882759E+01,3,2727,1023,0,2727
366,2017/11/30,09:44:05,1.882759E+01,3,2724,1026,0,2724
367,2017/11/30,09:44:05,1.882759E+01,2,2716,1027,-1,2716
368,2017/11/30,09:44:05,1.882759E+01,4,2702,1024,0,2702
369,2017/11/30,09:44:05,1.882759E+01,8,2695,1019,-1,2695
370,2017/11/30,09:44:05,1.882759E+01,9,2693,1012,0,2693
371,2017/11/30,09:44:05,1.882759E+01,9,2694,1007,0,2694
372,2017/11/30,09:44:05,1.882759E+01,14,2691,1000,0,2691
373,2017/11/30,09:44:05,1.882759E+01,22,2686,992,0,2686
374,2017/11/30,09:44:05,1.882759E+01,36,2683,985,0,2683
375,2017/11/30,09:44:05,1.882759E+01,42,2687,975,0,2687
376,2017/11/30,09:44:05,1.882759E+01,38,2696,970,0,2696
